conjuntoMuestras,codigoExterno,region,proyecto,especie
Nursery_CA,1411152-10B,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,82,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,83,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,84,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,85,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_CA,81-NM-1,Nursery_CA,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,06-1413-1,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,07-83-7-A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA-06-1029-82B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA-06-1029-82C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA-06-1029-109A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,ODA-06-1029-109B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,118-28-A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,08-206-44-B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,08-206-44-D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,08-206-44-E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,351-5-A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,351-5-C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,351-5-D,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,351-5-E,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-76-C,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-335-2A,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,04-189-B4,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,03-74-N10A-B,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,05-2033-72,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
Nursery_OR,05-2033-73,Nursery_OR,Kamvar_et_al_2014,Phytophthora ramorum
