id	codigoInterno	codigoExterno	fechaRecoleccion	sexo	latitud	longitud	ubicacion	detalle	especie_codigo	tejido_codigo	region_codigo	localidad_codigo	profesional_codigo	institucion_codigo	modoRecoleccion_codigo
1	RUEDA13|WINTER|F102|1	F102	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
27	RUEDA13|WINTER|F137|27	F137	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
5	RUEDA13|WINTER|F113|5	F113	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
13	RUEDA13|WINTER|F122|13	F122	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
88	RUEDA13|FALL|F593|88	F593	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
89	RUEDA13|FALL|F594|89	F594	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
14	RUEDA13|WINTER|F123|14	F123	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
24	RUEDA13|WINTER|F133|24	F133	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
8	RUEDA13|WINTER|F117|8	F117	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
65	RUEDA13|FALL|F493|65	F493	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
38	RUEDA13|SPRING|F243|38	F243	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
87	RUEDA13|FALL|F592|87	F592	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
80	RUEDA13|FALL|F578|80	F578	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
29	RUEDA13|WINTER|F139|29	F139	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
6	RUEDA13|WINTER|F115|6	F115	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
67	RUEDA13|FALL|F523|67	F523	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
52	RUEDA13|SPRING|F257|52	F257	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
46	RUEDA13|SPRING|F251|46	F251	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
55	RUEDA13|SPRING|F260|55	F260	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
39	RUEDA13|SPRING|F244|39	F244	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
64	RUEDA13|FALL|F492|64	F492	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
50	RUEDA13|SPRING|F255|50	F255	2008-10-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
25	RUEDA13|WINTER|F134|25	F134	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
12	RUEDA13|WINTER|F121|12	F121	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
82	RUEDA13|FALL|F580|82	F580	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
66	RUEDA13|FALL|F494|66	F494	2009-04-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
22	RUEDA13|WINTER|F131|22	F131	2008-07-01		-33.10536667	-58.33611111			Prochilodus lineatus		Rio Uruguay - Cuenca del Plata	Gualeguaychu	G. Somoza	FHUC-UNL	
